"DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","P8692S3A1","LLAVEHOG","FEX_C"
6004299,2,1,2,2,"60042991",1031.08802963381
6004301,1,1,1,1,"60043011",1019.20251931173
6004301,2,1,2,2,"60043011",1019.20251931173
6004307,1,1,1,1,"60043071",872.517218205781
6004307,2,1,2,2,"60043071",872.517218205781
6004340,1,1,1,1,"60043401",1064.81563036847
6004340,2,1,2,2,"60043401",1064.81563036847
6004352,1,1,1,1,"60043521",3773.79212123603
6004352,2,1,2,2,"60043521",3773.79212123603
6004401,1,1,1,1,"60044011",391.538943764422
6004401,2,1,2,2,"60044011",391.538943764422
6004405,1,1,1,1,"60044051",279.572285027584
6004405,2,1,2,2,"60044051",279.572285027584
6004424,1,1,1,1,"60044241",2210.50414613875
6004424,2,1,2,2,"60044241",2210.50414613875
6004429,1,1,1,1,"60044291",2223.88192991665
6004429,2,1,2,2,"60044291",2223.88192991665
6004472,1,1,1,1,"60044721",1742.87089833632
6004472,2,1,2,2,"60044721",1742.87089833632
6004472,3,1,3,3,"60044721",1742.87089833632
6004472,4,1,4,4,"60044721",1742.87089833632
6004472,5,1,5,5,"60044721",1742.87089833632
6004485,1,1,1,1,"60044851",1486.51522569036
6004485,2,1,2,2,"60044851",1486.51522569036
6004489,1,1,1,1,"60044891",2982.96827273501
6004489,2,1,2,2,"60044891",2982.96827273501
6004554,1,1,1,1,"60045541",317.138347173673
6004554,2,1,2,2,"60045541",317.138347173673
6004589,1,1,1,1,"60045891",655.849252410874
6004589,2,1,2,2,"60045891",655.849252410874
6004625,1,1,1,1,"60046251",294.550342188663
6004625,2,1,2,2,"60046251",294.550342188663
6004638,1,1,1,1,"60046381",571.868082654363
6004638,2,1,2,2,"60046381",571.868082654363
6004651,1,1,1,1,"60046511",294.550342188663
6004651,2,1,2,2,"60046511",294.550342188663
6004651,3,1,3,3,"60046511",294.550342188663
6004662,1,1,1,1,"60046621",494.47248581521
6004662,2,1,2,2,"60046621",494.47248581521
6004678,1,1,1,1,"60046781",685.108626088033
6004678,2,1,2,2,"60046781",685.108626088033
6004707,1,1,1,1,"60047071",435.052384221413
6004707,2,1,2,2,"60047071",435.052384221413
6004723,1,1,1,1,"60047231",562.578879177776
6004723,2,1,2,2,"60047231",562.578879177776
6004729,1,1,1,1,"60047291",498.926453855763
6004729,2,1,2,2,"60047291",498.926453855763
6004750,1,1,1,1,"60047501",587.373325524607
6004750,2,1,2,2,"60047501",587.373325524607
6004750,3,1,3,3,"60047501",587.373325524607
6004759,1,1,1,1,"60047591",195.627825811483
6004759,2,1,2,2,"60047591",195.627825811483
6004822,1,1,1,1,"60048221",538.825233981373
